CardName	CardType	Effect Text	Strength	PlayerCardDraw	CardDrawType	PlayerCardDestroy	DestroyType	PlayerCardReturn	CardReturnType	StrengthModifier	StrengthModType	GraveyardCardDraw	EnemyCardDraw	EnemyCardDestroy	EnemyReveal	RowMultiple	EffectedRow	SetAside	SetAsideType	Attach	StengthCondition	ChooseN	ChooseRow	ChooseShowN
Usury	Power	Set aside one of your units on the field until the\rstart of the next round. Draw two cards at the\rend of this round.	0	2	RoundEnd													1	Player					
Void	Power	The round ends after your next turn.	0																					
War	Power	Send a card from your hand to the graveyard.\rYour opponent then discards the strongest unit\rin their hand.	0			1	Unit							1										
Wrath	Power	Send one of your units on the field and two of\ryour opponent's to the graveyard.	0			1	Unit							2										
Archer	Ranged	 	2																					
Archer2	Ranged	 	2																					
Bowman	Ranged	 	2																					
Bowman2	Ranged	 	2																					
Grenadier	Ranged	 	4																					
Grenadier2	Ranged	 	4																					
Militia	Ranged	 	2																					
Musketeer3	Ranged	 	3																					
Musketeer	Ranged	 	3																					
Musketeer2	Ranged	 	3																					
Officer2	Ranged	 	3																					
Privateer	Ranged	 	4																					
Privateer2	Ranged	 	4																					
Privateer3	Ranged	 	4																					
Privateer4	Ranged	 	4																					
Riflemen	Ranged	 	3																					
Soldier	Ranged	 	2																					
Soldier2	Ranged	 	2																					
Telescope	Ranged	Add one base strength to two adjacent units\rin this row.	1							1	Adjacent													
Waterworks	Ranged	 	5																					
Armada	Siege	 	5																					
Armada2	Siege	 	5																					
Assault	Siege	 	3																					
Assault2	Siege	 	3																					
Assault3	Siege	 	3																					
Cannon	Siege	 	4																					
Cannon2	Siege	 	4																					
Cannon3	Siege	 	4																					
Cannon4	Siege	 	4																					
Catapult	Siege	 	3																					
Mortar	Siege	 	6																					
Officer3	Siege	 	3																					
Officer4	Siege	 	3																					
Siege	Siege	 	2																					
Siege2	Siege	 	2																					
Siege3	Siege	 	2																					
Tower	Siege	Add one base strength to two adjacent units in\rthis row.	1							1	Adjacent													
Assassin	Spy	Play in any of the opponent's rows and draw two\rcards. If the row has no other cards at the end of\rthe round, send any unit to the graveyard.	5	2	Either	0	RoundEnd							1			EnemyPlayable							
Minister	Spy	Play in the opponent's Siege row, then draw two\rcards.	3	2	Either												EnemySiege							
Saboteur	Spy	Play in the opponents ranged row, then draw\rtwo cards.	2	2	Either												EnemyRanged							
Smuggler	Spy	Draw two cards, your opponent draws one.	0	2	Either								1				PowerGraveyard							
Spy	Spy	Play in the opponents Melee row, then draw\rtwo cards.	1	2	Either												EnemyMelee							
Zealot	Spy	Play in the opponent's Melee row, then draw\rtwo cards.	4	2	Either												EnemyMelee							
Juggernaut	Switch	This unit can also be played in the Range row.	2																					
ClearSkies	Weather	Remove all weather effects.	0													1	All							
Fog	Weather	The Range row fights at half strength this round.	0													0.5	Ranged							
Frost	Weather	The Melee row fights at half strength this round.	0													0.5	Melee							
Storm	Weather	The Siege row fights at half strength this round.	0													0.5	Siege							
