Card Name	Link	Quote attribution	Quote	Citation	Extra notes	Framing Issue	Damage Issue	Color Issue	Upscaled?	Working on	Proposed change location in drive	Art Pass Finished
Burden	https://upload.wikimedia.org/wikipedia/commons/5/55/Atlas_holding_up_the_celestial_globe_-_Guercino_%281646%29.jpg	Andrew, Nathaniel Hawthorn	\`More weight^!\` His captors hoisted another stone\ronto his buckeling ribs.\r\`More weight^!\`	https://en.wikisource.org/wiki/The_Thoughts_of_the_Emperor_Marcus_Aurelius_Antoninus/Book_VI#:~:text=If%20a%20thing%20is%20difficult%20to%20be%20accomplished%20by%20thyself%2C%20do%20not%20think%20that%20it%20is%20impossible%20for%20man		 	blurry?	desaturate nipples	x			1
Calvary	https://upload.wikimedia.org/wikipedia/commons/e/e3/Scotland_Forever%21.jpg	The Polish King after the charge of the winged hussars at vienna	It is a victory which past centuries have never heard,\rinestimable riches have fallen into our hands and\rcountless of the enemy lie slain.	Jan III Sobieski: Listy do królowej Marysieńki (ug.edu.pl)		 	 	 	x			1
Calvary2	https://upload.wikimedia.org/wikipedia/commons/1/10/Detaille_4th_French_hussar_at_Friedland.jpg	bible, cannot find an actual verse for this	Seven trumpets will sound before the end of the age\rand we will be chosen^!	N/A		shift right?	 	 	x			1
Calvary3	https://upload.wikimedia.org/wikipedia/commons/2/24/Detaille_-_La_Charge.jpg	https://en.wikipedia.org/wiki/Gondola_no_Uta	Fall in love dear maiden, while your lips are red,\rbefore you are cold, for there will be no tomorrow.	unclear what the first translation of this into english is		 	 	washed out	x			1
Cannon	https://upload.wikimedia.org/wikipedia/commons/c/c7/Haestra%2C_Leendert_Maertensz_van_-_Canon_in_front_of_a_guard.jpg	Newton most likely said this in reference to the interpretation by scholars of biblical texts ( adding meaning to verse where the meaning is plain)	Truth is ever to be found in simplicity, and not in\rthe multiplicity and confusion of things.	https://archive.org/details/religionofisaacn0000manu/page/120/mode/2up?view=theater    https://en.wikiquote.org/wiki/Isaac_Newton 	I do not know what I may appear to the world, but to myself I seem to have been only like a boy playing on the sea-shore, and diverting myself in now and then finding a smoother pebble or a prettier shell than ordinary, whilst the great ocean of truth lay all undiscovered before me.	shift right?	 	a bit yellow/green	x			1
Cannon2	https://upload.wikimedia.org/wikipedia/commons/3/39/Galli%C3%A9ni_Roybet_d%C3%A9tail_Illustration.jpg	Alfred Nobel	Dynamite will sooner lead to peace than a thousand\rworld conventions.	Alfred Nobel - Wikiquote		shift left?	grainy	 	x			1
Cannon3	https://upload.wikimedia.org/wikipedia/commons/9/95/Jehan-Georges_Vibert_-_On_the_ramparts.jpg	Andrew	\`All the guns of Orban could not match our\rfirepower^!\`	N/A		flip horizontally?	cracked	 	x			1
Cannon4	https://upload.wikimedia.org/wikipedia/commons/6/67/Christian_Sell_Belagerung_von_Breisach.jpg	Napoleon	If they want peace, nations should avoid the\rpin-pricks that precede cannon shots.	https://en.wikiquote.org/wiki/Talk:Napoleon_Bonaparte#Sources?		 	 	too saturated?	x			1
Catapult	https://commons.wikimedia.org/wiki/File:Catapulta_by_Edward_Poynter.jpg	Scipio Aemilianus	Scipio wept for Carthage.\r\`A day will come when sacred Troy shall perish,\r And Priam and his people shall be slain.\`	Polybius • Histories — Book 38 (uchicago.edu)		 	 	 	x			1
ClearSkies	https://commons.wikimedia.org/wiki/File:Sandro_Botticelli_-_La_nascita_di_Venere_-_Google_Art_Project_-_edited.jpg	Shakespeare (hamlet)	Doubt the stars are fire; Doubt the sun doth move;\rDoubt truth to be a liar; But never doubt I love.	original quotation		 	 	 	x			1
Crusade	https://commons.wikimedia.org/wiki/File:Gregorythegreat.jpg	Andrew, various	Deus Vult^!	N/A		shift down?	 	 	x			1
Crusader	https://upload.wikimedia.org/wikipedia/commons/a/aa/Hugues_de_Payens_%28Versailles%29FXD.jpg	Nachmanides letter to his son	The more holy the city the greater the desolation.\rJerusalem is the most desolate of all.	I'm pretty sure we can use this since I cannot find the original source of the translation or the original letter, and lots of people quote it on the internet, but i am unsure if it seems too risky go with second quote https://en.wikipedia.org/wiki/Ramban_Synagogue#cite_note-JM_LD-10:~:text=Alleged%20letter%20by%20Nachmanides		shift down?	 	 	x			1
Death	https://commons.wikimedia.org/wiki/File:Carstian_Luyckx_-_Vanitas_Still_Life_with_Musical_Instruments,_Sheet_Music,_Books,_a_Skeleton,_Skulls_and_Armour.jpg	Andrew	The dream fades, the curtain falls;\rThe first act as distant as the last.	William Shakespeare quotes about death - Wikiquote      		 	 Speckle cleanup		x			1
Death2	https://upload.wikimedia.org/wikipedia/commons/7/71/Circle_of_Jan_Brueghel_the_Younger_-_Juno%27s_arrival_in_Hades.jpg	Andrew, various	Remember that all men must die.	N/A		 	 	shadow to separate skeleton from background?	x			1
EmperorDemise	https://upload.wikimedia.org/wikipedia/commons/a/aa/Battle_of_Lutzen.jpg	Gustavus Adolphus	War is not a river, or a lake,\rbut an ocean of all that is evil.	unlikely to find where this is translated from		shift up	 	emperor is washed out	x			1
Enlightenment	https://en.wikipedia.org/wiki/File:Wright_of_Derby,_The_Orrery.jpg	Pascal	Unless we love the truth, we cannot know it.	Blaise Pascal/Of the Geometrical Spirit - Wikisource, the free online library	reason accumulates without ceasing, whilst instinct remains always the same	 	 	 	x			1
Execution	https://upload.wikimedia.org/wikipedia/commons/e/e1/Marie_Antoinette_on_the_way_to_her_execution.jpg	Tale of two cities	\`It is a far far better thing I do than I have ever done;\rit is a far far better rest I go to than I have ever\rknown.\`	original quotation		 	 	 	x			1
Famine	https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Francisco_de_Goya%2C_Saturno_devorando_a_su_hijo_%281819-1823%29.jpg/1200px-Francisco_de_Goya%2C_Saturno_devorando_a_su_hijo_%281819-1823%29.jpg	The Theogony of Hesiod (1914)	Gnawing, gnashing, tearing, cracking:\rThe bones of gods break too.	https://www.sacred-texts.com/cla/hesiod/theogony.htm#:~:text=These%20great%20Cronos%20swallowed%20as	 	shift down?	 	 	x			1
Fate	https://upload.wikimedia.org/wikipedia/commons/9/93/Siege-alesia-vercingetorix-jules-cesar.jpg	Ceasar, Andrew	The die is cast. Or is it?	original quotation, maybe shakespeare		 	 	 	x			1
Feast2	https://upload.wikimedia.org/wikipedia/commons/7/72/A_Boyar_Wedding_Feast_%28Konstantin_Makovsky%2C_1883%29_Google_Cultural_Institute.jpg	The Black Douglas (novel) - Wikipedia	A Black Boar's head was set upon the table and \rall thoughts of matrimony turned to murder.	https://www.gutenberg.org/files/17733/17733-h/17733-h.htm#CHAPTER_LVII:~:text=%22And%20now%2C%22%20cried%20the%20Earl%2C%20facing%20the%20array%20of%20armed%20men%20who%20thronged%20the%20banquet%2Dhall%2C%20%22what%20would%20ye%20with%20the%20Douglas%3F%20Do%20ye%20mean%20my%20death%2C%20as%20by%20the%20Bull%27s%20Head%20here%20on%20the%20table%20ye%20would%20have%20me%20believe%3F%22		shift or change art? (table with food not visible)	there are some green specks in the SD version	 	x			1
Feast3	https://upload.wikimedia.org/wikipedia/commons/d/d7/Strobel-bautista.jpg	Andrew	In the concert of Europe only the players change,\rthe instruments are forever death and cruelty.	N/A		shift or change art? (table with food not visible)	 	 	x			1
Feint	https://upload.wikimedia.org/wikipedia/commons/b/ba/La_bataille_d%27Austerlitz._2_decembre_1805_%28Fran%C3%A7ois_G%C3%A9rard%29.jpg	Sun Tsu	Let your plans be dark and impenetrable as the\rnight. When you move, fall like a thunderbolt.	https://www.gutenberg.org/files/132/132-h/132-h.htm#:~:text=Let%20your%20plans%20be%20dark%20and%20impenetrable%20as%20night%2C%20and%20when%20you%20move%2C%20fall%20like%20a%20thunderbolt.		 	 	 	x			1
Fog	https://useum.org/artwork/In-a-Fog-David-Farquharson-1897	Andrew	\`You can't see which way is up in here^!\`	N/A		 	cracking	 	x			1
Fortress	https://commons.wikimedia.org/wiki/File:Bernardo_Bellotto,_The_Fortress_of_K%C3%B6nigstein,_1756-1758,_NGA_80924.jpg	Andrew	Crash against our walls and recede like waves.	N/A		fortress will be clipped by safe zone	 	 	x			1
Frost	https://americanillustration.org/project/frank-schoonover/	Jack London to build a fire	The proper function of man is to live, not to exist.	No Time to Die eulogy quote and its importance explained (hitc.com)		shift left?	 	 	x			1
Grail	https://upload.wikimedia.org/wikipedia/commons/c/c5/Barker--Faithful_Knight--Museums_Sheffield.jpg	Tennyson Idylls of the King	What is it? The phantom of a cup that comes and\rgoes?	https://en.wikiquote.org/wiki/Holy_Grail#:~:text=Holy%20Grail!%20%E2%80%94%0A%E2%80%A6-,What%20is%20it%3F%0AThe%20phantom%20of%20a%20cup%20that%20comes%20and%20goes%3F,-%22The%20Holy%20Grail		shift left	 	 	x			1
Grenadier	https://upload.wikimedia.org/wikipedia/commons/8/83/Grenadier-a-pied-de-la-Vieille-Garde.png	French soldiers at waterloo	\`The guard die, but do not surrender^!\`	https://en.wikipedia.org/wiki/Imperial_Guard_(Napoleon_I)#:~:text=The%20phrase%20%22,2%5D%5B3%5D		 		 	x			1
Grenadier2	https://upload.wikimedia.org/wikipedia/commons/9/93/Horace_Vernet_%281789-1863%29_-_A_Grenadier_of_the_Guard_at_Elba_-_P367_-_The_Wallace_Collection.jpg	Alexis de toqville (1840)	We are sleeping on a volcano. Can't you hear how\rthe earth shakes? The winds of revolt blow,\rthe storm is on the horizon.	https://en.wikiquote.org/wiki/Alexis_de_Tocqueville#:~:text=Ne%20voyez%2Dvous%20pas%20que%20la%20terre		 	blurry	 	x			1
Halberdier	https://upload.wikimedia.org/wikipedia/commons/1/13/Pontormo_%28Jacopo_Carucci%29_%28Italian%2C_Florentine%29_-_Portrait_of_a_Halberdier_%28Francesco_Guardi%3F%29_-_Google_Art_Project.jpg	See Death card	A man is an empty vase, a putrid vessel full of dregs\rand terror.	See Death card		shrink image, extend artwork manually	 	 	x			1
Jester	https://upload.wikimedia.org/wikipedia/commons/7/78/Jan_Matejko%2C_Sta%C5%84czyk.jpg	Edgar Allen Poe	I have become insane, with long interludes of\rhorrible sanity.	https://en.wikiquote.org/wiki/Insanity#:~:text=I%20became%20insane%2C%20with%20long%20intervals%20of%20horrible%20sanity.		 	some damage, esp. on face	 	x			1
Juggernaut	https://upload.wikimedia.org/wikipedia/commons/0/0f/F0440_Louvre_JL_David_Sabines_INV3691_rwk.jpg	Phillip of Macedon to Spartan emissaries	\`If I enter Sparta, you will be destroyed, never to\rrise again.\`\r\`If.\`	http://www.perseus.tufts.edu/hopper/text?doc=Perseus%3Atext%3A2008.01.0288%3Asection%3D17#:~:text=If%20once%20I%20enter%20into%20your%20territories%2C%20I%20will%20destroy%20ye%20all%2C%20never%20to%20rise%20again%3B%20they%20answered%20him%20with%20the%20single%20word%2C%20If.		change art? (main figure is cut off and can't be shifted up. also there is nudity, in case that is a concern)	 	 	x			1
Knight	https://upload.wikimedia.org/wikipedia/commons/d/d3/Leighton-God_Speed%21.jpg	Eurydice by Hilda Doolittle 1903	Before I am lost, hell must open like a red rose,\rfor the dead to pass.	"Eurydice" by H.D.-- Study Text (vcu.edu)		 	 	 	x			1
Knight10	https://upload.wikimedia.org/wikipedia/commons/8/84/Man_in_Armor.jpg	Andrew	Is it so wrong to kill a tryant? Better to be hanged a\rtraitor than to live half a man.	N/A		 	 	 	dont think it helps			1
Knight11	https://upload.wikimedia.org/wikipedia/commons/7/71/Titian_Portrait_of_Alfonso_d%27Avalos%2C_Marchese_del_Vasto%2C_in_Armor_with_a_Page_Getty_Museum.jpg	Shakespeare Henery V	If it be a sin to covet honour, I am the most\roffending soul alive.	https://en.wikipedia.org/wiki/St_Crispin%27s_Day_Speech#:~:text=But%20if%20it%20be%20a%20sin%20to%20covet%20honour%2C%0AI%20am%20the%20most%20offending%20soul%20alive.		shift down	 	 	x			1
Knight12	https://upload.wikimedia.org/wikipedia/commons/d/db/Anthony_van_Dyck_-_Portrait_of_a_A_Man_in_Armor_-_Google_Art_Project.jpg	Edward young night thoughts	We bleed, we tremble; we forget, we smile.\rThe mind turns fool, before the cheek is dry.	https://en.wikiquote.org/wiki/Foolishness#:~:text=We%20bleed%2C%20we%20tremble%3B%20we%20forget%2C%20we%20smile%E2%80%94%0AThe%20mind%20turns%20fool%2C%20before%20the%20cheek%20is%20dry.		shift down	damage in shadows	 	x			1
Knight3	https://upload.wikimedia.org/wikipedia/commons/7/72/Portrait_of_a_Young_Bearded_Man_Wearing_Armor_by_Tintoretto.jpg	Epicurus	The folly of man is to pray for what he can obtain of\rhis own deeds.			shift left?	 	 	x			1
Knight4	https://upload.wikimedia.org/wikipedia/commons/e/e1/Portrait_of_Alof_de_Wignacourt_and_his_Page-Caravaggio_%281607-1608%29.jpg	Gawayne and the Green Knight, Andrew	He took up the grim tool and lopped off the Green\rKnight's head. It rolled to its owner and spoke:\r\`One year hence Gawain^! a blow for a blow^!\`	The Project Gutenberg eBook of Sir Gawayne and The Green Knight	The Green Chapel is just over the crest Gawayne, can you repay the debt you've stolen?	shift right? boy might be clipped by safe zone	 	 	x			1
Knight5	https://upload.wikimedia.org/wikipedia/commons/1/1b/TheKnightAtTheCrossroads.jpg	Andrew	Seed, Flower, Petal, Dirt.\rLife springs anew.	N/A		shift left?	 	 	x	x		1
Knight6	https://upload.wikimedia.org/wikipedia/commons/d/dd/Die_drei_Bogatyr.jpg	Marcus Arelius, maybe too specific to the translation I read	The freedom to choose,\rThat no man can take away;\rnot Caesar, not Commodus, not God himself.			 	 	 	x			1
Knight7	https://upload.wikimedia.org/wikipedia/commons/a/a1/Portrait_of_a_Man_in_Armor_with_Two_Pages_MET_DT10686.jpg	Crime and Punishment	\`You're a gentleman,\` they used to say.\r\`You shouldn't hack men down with an axe;\rthat's not a gentleman's work.\`	https://www.gutenberg.org/cache/epub/2554/pg2554-images.html#:~:text=%E2%80%9CYou%E2%80%99re%20a%20gentleman%2C%E2%80%9D%20they%20used%20to%20say.%20%E2%80%9CYou%20shouldn%E2%80%99t%20hack%20about%20with%20an%20axe%3B%20that%E2%80%99s%20not%20a%20gentleman%E2%80%99s%20work.%E2%80%9D		change art? (I think figure needs to be shifted down ~ 20%, which might be a lot of work. might be easier to start over)	 	 	x			1
Knight9	https://upload.wikimedia.org/wikipedia/commons/f/f1/Portrait_of_a_man_in_armor_%28Titian%29.jpg	Shakespeare Henery V	\`We few, we happy few, we band of brothers;\rHe that sheds his blood with me shall be my brother;\rFrom this day to the ending of the world.\`	https://en.wikipedia.org/wiki/St_Crispin%27s_Day_Speech#:~:text=But%20if%20it%20be%20a%20sin%20to%20covet%20honour%2C%0AI%20am%20the%20most%20offending%20soul%20alive.		shift down	 	 	x			1
Landsknecht	https://upload.wikimedia.org/wikipedia/commons/7/7c/Marie_M%C3%BCller_Landsknecht.jpg	Andrew	\`Landsknecht LandSTRIKE^!\`	N/A		shift down	 	 	x			1
LionKing	https://upload.wikimedia.org/wikipedia/commons/2/22/Attributed_to_Jacob_Hoefnagel_-_Gustavus_Adolphus%2C_King_of_Sweden_1611-1632_-_Google_Art_Project.jpg	Gustavus Adolphus	\`You may earn salvation under my command,\rbut hardly riches.\`	there is no findable original translation		shift down or right	 	 	x			1
Militia	https://upload.wikimedia.org/wikipedia/commons/4/43/Chouans_%28Paul_Grolleron%29.jpg	Andrew	A well placed shot can change the course of nations.	N/A		 	 	subject is dark	x			1
Minister	https://upload.wikimedia.org/wikipedia/commons/5/5c/Champaigne_portrait_richelieu_eb.jpg	Shakespeare (richard III)	Though I did wish him dead, I hate the murd'rer,\rlove him murdered.	original quotation		shift down	 	 	x			1
Mortar	https://upload.wikimedia.org/wikipedia/commons/a/a2/Monster_mortar_-_Liege_-_Antwerp_1832_-_crop.jpg	reference to berserk, unsure if safe	Too big to be called a gun.\rMore like a large hunk of iron.			shift right, cannon will be clipped by safe zone	 	 	x			1
Musketeer	https://artvee.com/dl/the-musketeer-2/	Plutarc Sayings of the spartans Loeb Classical Library edition, 1931	What dire fate could be ours if we have no fear of\rdeath?	http://penelope.uchicago.edu/Thayer/E/Roman/Texts/Plutarch/Moralia/Sayings_of_Spartans*/main.html#:~:text=What%20dire%20fate%20could%20be%20ours%20if%20we%20have%20no%20fear%20of%20death%3F		shift down	 	 	x			1
Musketeer2	https://upload.wikimedia.org/wikipedia/commons/5/51/Jean_Louis_Ernest_Meissonier_%281815-1891%29_-_A_Musketeer%2C_Time_of_Louis_XIII_-_P332_-_The_Wallace_Collection.jpg	the three musketeers (alexander dumas)	All for one and one for all,\runited we stand divided we fall.	https://www.gutenberg.org/cache/epub/1257/pg1257-images.html		 		 	x			1
Musketeer3	https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Jos%C3%A9_Llaneces.jpg/640px-Jos%C3%A9_Llaneces.jpg	Alexandre Dumas, The Count of Monte Cristo	He shall cease to live, or I shall die.\rMine shall be a splendid funeral^!	https://www.gutenberg.org/cache/epub/1184/pg1184-images.html#:~:text=guilty%2C%20he%20shall%20cease		 	 	 	x			1
MusketLine	https://upload.wikimedia.org/wikipedia/commons/9/9a/Hohenfriedeberg_-_Attack_of_Prussian_Infantry_-_1745.jpg	often attributted to Voltaire or Count Mirabeau but likely of unknown origin	Where some states have an army,\rthe Prussian Army has a state.	https://lists.h-net.org/cgi-bin/logbrowse.pl?trx=vx&list=H-War&month=0907&week=b&msg=fB4vd1ZikUOS9D6ySOmO5Q		shift left or right, safe zone is going to clip the man on far left	 	 	x			1
Offering	https://commons.wikimedia.org/wiki/File:Francisco_de_Zurbar%C3%A1n_006.jpg	Crime and Punishment	New life can not be given nothing, it would cost him:\rgreat striving, great suffering.	https://www.gutenberg.org/cache/epub/2554/pg2554-images.html#:~:text=the%20new%20life%20would%20not%20be%20given%20him%20for%20nothing%2C%20that%20he%20would%20have%20to%20pay%20dearly%20for%20it%2C%20that%20it%20would%20cost%20him%20great%20striving%2C%20great%20suffering.		 	 	 	x			1
Officer	https://upload.wikimedia.org/wikipedia/commons/d/d7/Detaille_-_Artillerie_%C3%A0_cheval_de_la_Garde_Imperiale.jpg	Beilby Porteus	One murder makes a villain,\rMillions a hero.	https://www.eighteenthcenturypoetry.org/works/o4986-w0150.shtml#		 	some damage on blacks	 	x			1
Officer2	https://upload.wikimedia.org/wikipedia/commons/8/87/An_Officer_of_the_Imperial_Horse_Guards_Charging.jpg	Andrew	Men's ambition and innards strewn on the field,\rWe imagine ourselves a watchmaker and not a\rwatch.	N/A		shift right?	 	 	x			1
Officer3	https://upload.wikimedia.org/wikipedia/commons/f/f7/Detaille_-_Officers_from_a_Cuirassier_Regiment_in_front_of_a_Country_House.jpg	Thomas Paine, Common Sense	If there must be war, let it be in my day,\rthat my children might have peace.	https://www.ushistory.org/paine/crisis/c-01.htm#:~:text=give%20me%20peace%20in%20my,well%20applied%2C%20is%20sufficient%20to		shift up?	 	 	x			1
Officer4	https://upload.wikimedia.org/wikipedia/commons/5/5f/Jean_Baptiste_%C3%89douard_Detaille_-_A_Mounted_Officer_-_1894.1050_-_Art_Institute_of_Chicago.jpg	Andrew	They will know us by the roar of our cannons,\rand the fear they find in their hearts.	N/A		 	 	subject's chest is dark	x			1
Plague	https://upload.wikimedia.org/wikipedia/commons/c/c8/Antoine-Jean_Gros_-_Napoleon_Bonaparte_Visiting_the_Plague-stricken_at_Jaffa_-_WGA10702.jpg	Agnolo di Tura black death 1340's	No bells tolled, and no one wept, for every man\rexpected death; \`This is the end of the world^!\`	https://www.gutenberg.org/files/46954/46954-h/46954-h.htm#:~:text=the%20dead.%20No,fusse%20persona.		change art?	 	 	x			1
Privateer	https://upload.wikimedia.org/wikipedia/commons/f/fd/The_Blockade_of_the_Privateers%27_Nest_at_Dunkirk.jpg	Andrew	Beware the phantom dutchman, its crew and its\rcapitan; Beware ye reckless sailor, Beware the\rceaseless jailor^!	N/A			 	 	x			1
Privateer2	https://upload.wikimedia.org/wikipedia/commons/3/34/Willem_van_de_Velde_the_Younger_%281633-1707%29_-_An_English_Indiaman_Attacked_by_Three_Spanish_Privateers_-_RCIN_405154_-_Royal_Collection.jpg	Heart of Oak (1759)	\`Hearts of oak are our ships,\rHearts of oak are our men.\`	https://en.wikipedia.org/wiki/Heart_of_Oak#cite_note-4:~:text=Heart%20of%20oak%20are%20our%20ships%2C%20heart%20of%20oak%20are%20our%20men		shift left to avoid safe zone?	 	 	x	x		1
Privateer3	https://upload.wikimedia.org/wikipedia/commons/a/a4/Willem_van_de_Velde_the_Younger_%281633-1707%29_-_The_End_of_the_Action_between_the_English_Indiaman_and_Three_Spanish_Privateers_-_RCIN_405155_-_Royal_Collection.jpg	The Wellerman (1800's)	\`Soon may the Wellerman come; To bring us sugar\rand tea and rum. One day, when the tonguing is\rdone; We'll take our leave and go^!\`	N/A		 	 	 	x			1
Privateer4	https://upload.wikimedia.org/wikipedia/commons/7/77/A_Castro%2C_Lorenzo_-_A_Galley_of_Malta_-_Google_Art_Project.jpg	Andrew	We sail for Jerusalem for gold and glory;\rLeave faith to the Pope.	N/A		shift up	 	 	x			1
Redemption	https://upload.wikimedia.org/wikipedia/commons/7/7d/The_Crowning_with_Thorns-Caravaggio_%281602%29.jpg	Bible	\`Remember me, when you come into your kingdom.\`	https://www.kingjamesbibleonline.org/Luke-Chapter-23/#42		shift left due to safe zone	 	 	x			1
Relic	https://commons.wikimedia.org/wiki/File:Joaqu%C3%ADn_Sorolla_y_Bastida_-_La_Reliquia.jpg	king james bible	Ashes to ashes. Dust to dust. For thou art dust,\rAnd unto dust thou shall return.	https://www.kjvsayings.com/phrase/dust-thou-art-and-unto-dust-shalt-thou-return#		shift down?	damage on black robes	 	x			1
Resurrection	https://commons.wikimedia.org/wiki/File:Joan_of_Arc_-_John_Everett_Millais.jpg	Apologeticus	The blood of martyrs is the seed of the church.	https://en.wikipedia.org/wiki/Apologeticus#cite_ref-18 most likely translation is apocraphul		 	damage on shadows	 	x			1
Retreat	https://upload.wikimedia.org/wikipedia/commons/c/cc/Napoleons_retreat_from_moscow.jpg	Napoleon	Death is nothing, but to live defeated and inglorious\ris to die daily.	https://en.wikiquote.org/wiki/Talk:Napoleon_Bonaparte#Sources?		 change art to alternate? it is less cartoony	 	 	x			1
Riflemen	https://upload.wikimedia.org/wikipedia/commons/a/a2/Grolleron_Paul-Louis-Narcisse_-_Combat_d%27infanterie_sur_une_route%2C_1870_-_Soldats_du_24e_d%27infanterie_de_la_brigade_Micheler_Paris%2C_mus%C3%A9e_de_l%27Arm%C3%A9e.jpg	Andrew	The cannonshot rang all around, but we stood firm\rfor an empire of richer men.	N/A		 	 speckles on blue	 	x			1
Ruin	https://upload.wikimedia.org/wikipedia/commons/6/6f/Igorsvyat.jpg	Andrew	Doom has come to the empire.\rWe are fated for lesser days and lesser deeds.	N/A		shift up	 	 	x			1
Saboteur	https://upload.wikimedia.org/wikipedia/commons/b/b6/Great_Fire_London.jpg	Quote from hindenburg crash 1930's	\`Oh the Humanity^!\`	https://en.wiktionary.org/wiki/oh,_the_humanity		shift up	 	 	x			1
Sack	https://commons.wikimedia.org/wiki/File:Sack_of_Rome_by_the_Visigoths_on_24_August_410_by_JN_Sylvestre_1890.jpg	Pelagius (410) sack of rome translated 1883 https://en.wikipedia.org/wiki/Sack_of_Rome_(410)#cite_note-97	The slave and the noble: the same;\reverywhere the terror of death and slaughter.	https://en.wikipedia.org/wiki/Sack_of_Rome_(410)#cite_note-97		 	 needs upscale	 	x			1
Scout	https://upload.wikimedia.org/wikipedia/commons/6/6d/Remnants_of_an_army2.jpg	Art of war	If you know the enemy and know yourself,\ryou need not fear the result of a hundred battles.	https://www.gutenberg.org/files/132/132-h/132-h.htm#:~:text=18.%20Hence%20the%20saying%3A%20If%20you%20know%20the%20enemy%20and%20know%20yourself%2C%20you%20need%20not%20fear%20the%20result%20of%20a%20hundred%20battles.%20If%20you%20know%20yourself%20but%20not%20the%20enemy%2C%20for%20every%20victory%20gained%20you%20will%20also%20suffer%20a%20defeat.		zoom out	 	 	x			1
Shipwreck	https://upload.wikimedia.org/wikipedia/commons/e/ec/Claude-Joseph_Vernet_-_A_Shipwreck_in_Stormy_Seas_%28Temp%C3%AAte%29_-_c_1773_-_National_Gallery_UK.jpg	Andrew, various	\`Land^! Sweet Land^!\`	N/A		 	 	lots of damage	x			1
